transaction_id,store_id,store_name,date,product_id,product_name,quantity,unit_price,total,customer_id,promo_code
1001,3,Airport,12-10-2025,505,Marker,3,1.75,5.25,,
1002,2,Suburb,06-10-2025,506,Highlighter,2,0.9,1.8,2172,DISC10
1003,2,Suburb,08-10-2025,504,Folder,6,1.2,7.2,2134,
1004,3,Airport,01-10-2025,504,Folder,5,1.2,6,2137,DISC10
1005,1,Downtown,30-10-2025,506,Highlighter,2,0.9,1.8,,DISC10
1006,3,Airport,22-10-2025,504,Folder,10,1.2,12,,DISC5
1007,1,Downtown,04-10-2025,501,Notebook,6,3.5,21,2165,
1008,2,Suburb,19-10-2025,501,Notebook,1,3.5,3.5,,
1009,1,Downtown,18-10-2025,501,Notebook,6,3.5,21,2164,
1010,1,Downtown,28-10-2025,503,Stapler,10,5.25,52.5,,DISC5
1011,2,Suburb,13-10-2025,501,Notebook,7,3.5,24.5,2196,
1012,2,Suburb,03-10-2025,506,Highlighter,2,0.9,1.8,,
1013,3,Airport,30-10-2025,501,Notebook,2,3.5,7,2077,
1014,3,Airport,28-10-2025,502,Pen,1,0.8,0.8,,
1015,2,Suburb,16-10-2025,503,Stapler,1,5.25,5.25,,
1016,3,Airport,06-10-2025,501,Notebook,9,3.5,31.5,,
1017,1,Downtown,15-10-2025,505,Marker,2,1.75,3.5,,
1018,2,Suburb,15-10-2025,506,Highlighter,7,0.9,6.3,,DISC10
1019,1,Downtown,13-10-2025,506,Highlighter,8,0.9,7.2,,DISC10
1020,3,Airport,27-10-2025,502,Pen,6,0.8,4.8,2052,DISC5
1021,1,Downtown,15-10-2025,505,Marker,3,1.75,5.25,2031,
1022,2,Suburb,12-10-2025,503,Stapler,3,5.25,15.75,,DISC10
1023,2,Suburb,21-10-2025,505,Marker,2,1.75,3.5,2083,DISC10
1024,2,Suburb,06-10-2025,504,Folder,2,1.2,2.4,,
1025,3,Airport,05-10-2025,502,Pen,7,0.8,5.6,,
1026,3,Airport,11-10-2025,502,Pen,6,0.8,4.8,2026,
1027,1,Downtown,25-10-2025,506,Highlighter,8,0.9,7.2,2185,
1028,3,Airport,23-10-2025,505,Marker,4,1.75,7,2130,DISC10
1029,1,Downtown,04-10-2025,501,Notebook,7,3.5,24.5,,
1030,2,Suburb,23-10-2025,506,Highlighter,8,0.9,7.2,2140,DISC10
1031,3,Airport,26-10-2025,503,Stapler,5,5.25,26.25,,
1032,3,Airport,27-10-2025,504,Folder,8,1.2,9.6,2017,DISC10
1033,2,Suburb,23-10-2025,506,Highlighter,1,0.9,0.9,2151,DISC5
1034,3,Airport,12-10-2025,501,Notebook,10,3.5,35,,
1035,1,Downtown,02-10-2025,501,Notebook,5,3.5,17.5,2092,DISC5
1036,1,Downtown,07-10-2025,501,Notebook,1,3.5,3.5,,DISC10
1037,3,Airport,29-10-2025,502,Pen,7,0.8,5.6,,
1038,1,Downtown,16-10-2025,504,Folder,6,1.2,7.2,2175,
1039,2,Suburb,03-10-2025,504,Folder,7,1.2,8.4,,
1040,1,Downtown,23-10-2025,504,Folder,8,1.2,9.6,2059,DISC5
1041,2,Suburb,21-10-2025,502,Pen,1,0.8,0.8,,DISC10
1042,2,Suburb,16-10-2025,505,Marker,9,1.75,15.75,2087,
1043,2,Suburb,24-10-2025,505,Marker,5,1.75,8.75,,
1044,2,Suburb,24-10-2025,502,Pen,8,0.8,6.4,,DISC10
1045,1,Downtown,09-10-2025,502,Pen,5,0.8,4,,
1046,1,Downtown,21-10-2025,504,Folder,10,1.2,12,2154,DISC5
1047,3,Airport,06-10-2025,503,Stapler,10,5.25,52.5,2128,DISC5
1048,3,Airport,03-10-2025,505,Marker,1,1.75,1.75,,DISC10
1049,3,Airport,12-10-2025,501,Notebook,1,3.5,3.5,2078,DISC5
1050,2,Suburb,06-10-2025,503,Stapler,1,5.25,5.25,2117,DISC5
1051,1,Downtown,03-10-2025,501,Notebook,1,3.5,3.5,2177,DISC5
1052,1,Downtown,30-10-2025,504,Folder,1,1.2,1.2,,
1053,1,Downtown,28-10-2025,501,Notebook,3,3.5,10.5,,DISC10
1054,1,Downtown,15-10-2025,501,Notebook,4,3.5,14,,DISC5
1055,3,Airport,28-10-2025,501,Notebook,9,3.5,31.5,2192,DISC5
1056,3,Airport,01-10-2025,506,Highlighter,7,0.9,6.3,2130,
1057,1,Downtown,13-10-2025,506,Highlighter,2,0.9,1.8,2122,DISC5
1058,3,Airport,09-10-2025,506,Highlighter,9,0.9,8.1,,DISC5
1059,3,Airport,03-10-2025,502,Pen,1,0.8,0.8,2093,
1060,3,Airport,28-10-2025,502,Pen,5,0.8,4,,DISC10
1061,3,Airport,03-10-2025,501,Notebook,6,3.5,21,,DISC5
1062,3,Airport,27-10-2025,501,Notebook,10,3.5,35,,DISC5
1063,2,Suburb,11-10-2025,506,Highlighter,5,0.9,4.5,,
1064,3,Airport,17-10-2025,503,Stapler,3,5.25,15.75,,
1065,3,Airport,03-10-2025,506,Highlighter,1,0.9,0.9,,
1066,1,Downtown,17-10-2025,505,Marker,6,1.75,10.5,2045,
1067,1,Downtown,07-10-2025,501,Notebook,5,3.5,17.5,2051,
1068,3,Airport,09-10-2025,505,Marker,6,1.75,10.5,2142,
1069,1,Downtown,04-10-2025,501,Notebook,2,3.5,7,,
1070,3,Airport,20-10-2025,501,Notebook,3,3.5,10.5,,DISC10
1071,1,Downtown,08-10-2025,504,Folder,4,1.2,4.8,,
1072,2,Suburb,02-10-2025,501,Notebook,7,3.5,24.5,,DISC5
1073,3,Airport,13-10-2025,501,Notebook,7,3.5,24.5,2139,
1074,3,Airport,09-10-2025,501,Notebook,2,3.5,7,,
1075,3,Airport,02-10-2025,502,Pen,9,0.8,7.2,2110,
1076,3,Airport,11-10-2025,503,Stapler,6,5.25,31.5,2014,
1077,2,Suburb,26-10-2025,506,Highlighter,4,0.9,3.6,2140,DISC5
1078,3,Airport,21-10-2025,503,Stapler,1,5.25,5.25,2109,DISC5
1079,1,Downtown,11-10-2025,501,Notebook,9,3.5,31.5,,
1080,2,Suburb,29-10-2025,502,Pen,1,0.8,0.8,2057,
1081,1,Downtown,14-10-2025,506,Highlighter,9,0.9,8.1,2114,
1082,1,Downtown,08-10-2025,506,Highlighter,1,0.9,0.9,2170,
1083,3,Airport,22-10-2025,503,Stapler,6,5.25,31.5,2077,DISC10
1084,3,Airport,29-10-2025,502,Pen,5,0.8,4,2121,DISC10
1085,2,Suburb,05-10-2025,505,Marker,10,1.75,17.5,2002,DISC10
1086,3,Airport,15-10-2025,505,Marker,10,1.75,17.5,,DISC10
1087,3,Airport,13-10-2025,503,Stapler,1,5.25,5.25,2015,
1088,3,Airport,14-10-2025,506,Highlighter,8,0.9,7.2,2007,DISC5
1089,2,Suburb,30-10-2025,506,Highlighter,6,0.9,5.4,,DISC5
1090,3,Airport,10-10-2025,503,Stapler,10,5.25,52.5,2148,
1091,3,Airport,28-10-2025,505,Marker,9,1.75,15.75,2132,DISC5
1092,2,Suburb,14-10-2025,501,Notebook,4,3.5,14,,
1093,1,Downtown,20-10-2025,501,Notebook,2,3.5,7,2075,DISC5
1094,2,Suburb,26-10-2025,501,Notebook,8,3.5,28,,
1095,1,Downtown,14-10-2025,506,Highlighter,5,0.9,4.5,2062,DISC5
1096,1,Downtown,27-10-2025,505,Marker,9,1.75,15.75,,DISC10
1097,1,Downtown,28-10-2025,501,Notebook,5,3.5,17.5,2097,
1098,2,Suburb,05-10-2025,503,Stapler,7,5.25,36.75,2191,DISC5
1099,2,Suburb,31-10-2025,503,Stapler,3,5.25,15.75,,
1100,2,Suburb,18-10-2025,501,Notebook,3,3.5,10.5,2177,DISC5
1101,2,Suburb,20-10-2025,506,Highlighter,8,0.9,7.2,2081,
1102,2,Suburb,18-10-2025,503,Stapler,4,5.25,21,,DISC10
1103,3,Airport,01-10-2025,502,Pen,5,0.8,4,2125,
1104,2,Suburb,24-10-2025,506,Highlighter,7,0.9,6.3,2185,DISC10
1105,1,Downtown,01-10-2025,505,Marker,10,1.75,17.5,2068,
1106,2,Suburb,01-10-2025,505,Marker,9,1.75,15.75,2108,
1107,3,Airport,06-10-2025,504,Folder,9,1.2,10.8,,DISC10
1108,1,Downtown,12-10-2025,503,Stapler,1,5.25,5.25,,
1109,2,Suburb,14-10-2025,506,Highlighter,2,0.9,1.8,2071,
1110,3,Airport,01-10-2025,505,Marker,4,1.75,7,,
1111,3,Airport,05-10-2025,504,Folder,3,1.2,3.6,2057,
1112,1,Downtown,04-10-2025,505,Marker,2,1.75,3.5,2120,
1113,2,Suburb,16-10-2025,504,Folder,3,1.2,3.6,,
1114,1,Downtown,13-10-2025,503,Stapler,3,5.25,15.75,2083,DISC10
1115,1,Downtown,07-10-2025,505,Marker,2,1.75,3.5,2039,
1116,2,Suburb,06-10-2025,502,Pen,8,0.8,6.4,2064,DISC5
1117,2,Suburb,16-10-2025,506,Highlighter,5,0.9,4.5,,
1118,1,Downtown,30-10-2025,506,Highlighter,10,0.9,9,2004,
1119,1,Downtown,10-10-2025,501,Notebook,9,3.5,31.5,,DISC5
1120,1,Downtown,31-10-2025,503,Stapler,4,5.25,21,2170,DISC10
1121,2,Suburb,25-10-2025,505,Marker,7,1.75,12.25,2147,DISC5
1122,1,Downtown,25-10-2025,504,Folder,8,1.2,9.6,2087,DISC10
1123,2,Suburb,31-10-2025,503,Stapler,6,5.25,31.5,,
